"","importance","feature"
"Ifi27l2a",0.0203062752938943,"Ifi27l2a"
"Ly6e",0.0196452836279649,"Ly6e"
"Wfdc17",0.0184714555760721,"Wfdc17"
"Gm42418",0.0167350439533872,"Gm42418"
"Ctsd",0.0140874804565151,"Ctsd"
"Cd74",0.0131687094595801,"Cd74"
"Rgs2",0.0130297306445231,"Rgs2"
"Ctsb",0.0127407618813305,"Ctsb"
"Ahnak",0.0125660467100288,"Ahnak"
"H2-Ab1",0.0123557834553049,"H2-Ab1"
"Fxyd5",0.0120649132720357,"Fxyd5"
"Dennd4a",0.0119825211648811,"Dennd4a"
"Ifitm3",0.0116562368034319,"Ifitm3"
"Antxr2",0.011344426155999,"Antxr2"
"Retnla",0.0106821353847068,"Retnla"
"Tnfrsf12a",0.0105782140375493,"Tnfrsf12a"
"Rgs1",0.0105219993767129,"Rgs1"
"Gdf15",0.0104891299652486,"Gdf15"
"Lmna",0.0103652352298367,"Lmna"
"Ccl8",0.00977748926181743,"Ccl8"
"Glipr1",0.00949991646974118,"Glipr1"
"Apoe",0.00937791199114094,"Apoe"
"Ccl9",0.00867030702167906,"Ccl9"
"Peli1",0.00845793882986805,"Peli1"
"Ms4a7",0.00841552401002635,"Ms4a7"
"Pfn1",0.00763676844213489,"Pfn1"
"Id2",0.007588329286303,"Id2"
"Ccl12",0.00753142055126764,"Ccl12"
"Rpl22l1",0.00725645180471397,"Rpl22l1"
"Ccl7",0.00719225351250274,"Ccl7"
"Atox1",0.00704954786282018,"Atox1"
"Gpx1",0.00681568819062376,"Gpx1"
"H2-Eb1",0.00671093774102111,"H2-Eb1"
"Hsph1",0.00656423611726011,"Hsph1"
"Abr",0.00640471882099048,"Abr"
"Mgl2",0.00630344233100505,"Mgl2"
"Tagln2",0.0062831025549421,"Tagln2"
"Gm47283",0.00565187923675031,"Gm47283"
"Ccl3",0.00561674006983134,"Ccl3"
"Ccl24",0.00555029694327557,"Ccl24"
